ID,References,Extracts,Facts,Factors,Groups,Sub Groups,Notes/Additional,Glossary Check
1,Page 5/6,"To meet and prepare for these challenges NSW Health must change the
way it delivers services. NSW Health is implementing a major combined
clinical and corporate and ICT reform program to address these issues.
Implementation of IT solutions to support staff and embed business
processes is critical to ensuring change to delivery of services is
sustainable. To be successful this requires a change in the way that ICT
solutions are procured, designed and implemented.
Historic investment decisions and decision-making have resulted in Area
Health Services developing disparate clinical and corporate applications,
supporting mixed infrastructure and integration approaches. This has
resulted in:
• Very high integration cost and difficulty gaining a comprehensive
clinical or management information;
• Duplication of effort and little reuse of technology assets;
• Existence of information gaps and overlaps;
• Different clinical specialty systems making it difficult to effectively
manage the patient journey and give clinicians a single view of their
patients;
• Twenty-nine systems support basic HR functions;
• Systems that are more than 20 years old and have limited support.","NSW Health is changing how it does things to meet challenges. They're putting in a big program to fix clinical, corporate, and tech stuff. Getting the right IT tools is key to making sure these changes last. Before, they had a mess of different systems which made things harder and more expensive. Plus, some of their systems are ancient and hard to support","Performance monitoring
Process efficiency","System Maintenance and Support
Operational Effectiveness and Efficiency","Responsive Support
Process optimization",,"In Glossary
In Glossary"
2,Page 6,"As a result it is difficult to share patient information and coordinate patient
care. From a management perspective, it is difficult to obtain accurate
information on system performance. From a financial perspective, the
systems are expensive to maintain","Because of all this, it's hard to share patient info and coordinate care properly. Managers struggle to get accurate info on how well the systems are doing. And keeping them running costs a lot of money.",System interoperability,Compliance and Governance,Regulatory adherence,,In Glossary
3,Page 6,"This situation will undermine the long-term sustainability of the Clinical
Services Redesign and Corporate Shared Services reform programs. The
ICT program has been realigned and refocussed to meet the long terms
needs of the reform program. The focus will be on connecting islands of
information and technology and rapidly supporting clinical and corporate
reform","This setup could harm the long-term success of the Clinical Services Redesign and Corporate Shared Services. So, they're reshaping the ICT program to fit these reforms better. They're aiming to connect scattered information and tech and quickly support both clinical and corporate changes.","System compatibility
System maintenance
Integration capabilities","Standardization and Streamlining Processes
System Maintenance and Support
System Deployment and Integration","Consistent Excellence
Responsive Support
Reliable Implementation",,"In Glossary
In Glossary
In Glossary"
4,Page 6,"The Integrated Clinical Information Program (ICIP) was established in 2000
as a result of recommendations of the NSW Health Council and its objective
is to deal with the issues outlined above in a defined forward strategy. The
program aims to address these issues by providing core clinical
functionality across NSW. Significant progress has been made in the
implementation of patient administration, clinical and corporate systems.","Back in 2000, the Integrated Clinical Information Program (ICIP) started based on advice from the NSW Health Council. Its goal is to fix the problems with a clear plan. The idea is to give essential clinical features to all of NSW. They've already made big strides in setting up patient administration, clinical, and corporate systems","Strategic alignment
Process efficiency
Integration capabilities
Sustainability initiatives
Compliance & regulations","Business Alignment
Operational Effectiveness and Efficiency
System Deployment and Integration
Policy and Organizational Reform
Compliance and Governance","Strategic Cohesion
Process optimization
Reliable Implementation
Governance with Integrity
Regulatory adherence",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
5,Page 8,"1.3 Planned outcomes
The ICT Strategy has been realigned with the core reform strategies of
Clinical Services Redesign and Corporate Shared Services. Five major ICT
strategies have been defined to support these broader strategic priorities.
These are the:
• Clinical Systems Strategy
• Corporate Systems Strategy
• Business Information Strategy
• Sustainable Infrastructure strategy and
• Whole of Government ICT Strategic directions","Clinical Systems Strategy
Corporate Systems Strategy
Business Information Strategy
Sustainable Infrastructure Strategy
Whole of Government ICT Strategic Directions","Information flow
Standardization
User-centric optimization","Data and Information Management
Operational Effectiveness and Efficiency
Operational Effectiveness and Efficiency","Data governance
Process optimization
Process optimization",,"In Glossary
In Glossary
In Glossary"
6,Page 9,"Improved quality and safety by ensuring that clinicians have access
to information they need to provide safe care and by providing systems
to embed consistent, predictable processes across the state to improve
quality and safety","They're making care safer and better by giving clinicians the info they need and setting up systems for consistent, predictable processes across the state.","Collaboration & teamwork
Integration capabilities
Information flow","Collaboration and Communication
System Deployment and Integration
Data and Information Management","Teamwork enhancement
Reliable Implementation
Data governance",,"In Glossary
In Glossary
In Glossary"
7,Page 9,"Improved collaboration within health and other related agencies within NSW, with the private
sector and nationally to increase interoperability and better information flow to support improved
patient outcomes and increased efficiency.","They're improving teamwork among health agencies in NSW, as well as with private companies and nationally, so everyone can work together better. This means info flows more smoothly, helping patients and making things more efficient.","Process efficiency
System deployment
Sustainability initiatives
Employee training","Operational Effectiveness and Efficiency
System Deployment and Integration
Policy and Organizational Reform
Employee Training and Development","Process optimization
Reliable Implementation
Governance with Integrity
Employee development",,"In Glossary
In Glossary
In Glossary
In Glossary"
8,Page 9,"Significant savings – new structures, governance arrangements
and development and deployment methods 
 Rapid deployment of core programs will reduce overall project
management costs, which are the major cost component
 Potential to integrate with the change management activities
already in train with CSRP and Corporate Shared Services, reducing
cost and increasing value of the change management process.
This will also help to embed the ICT processes within the clinical
and corporate reform programs to ensure that the change is
sustainable.
 Minimises duration of impact on clinicians in AHS’ and increases the
speed to delivery of benefits for clinical care
 Reduced training costs (can train once for all components, not
multiple times for each individual component)","They're expecting to save a lot of money by setting up new structures and ways of doing things. By rolling out key programs quickly, they'll spend less on managing projects, and they can piggyback on existing changes to save even more. This also means less disruption for clinicians and patients and less money spent on training.","User support
Strategic alignment
Funding & cost control","Consumer Experience and Support
Business Alignment
Financial Management and Budgeting","Customer service
Strategic Cohesion
Budget control",,"In Glossary
In Glossary
In Glossary"
9,Page 10,"2 The ICT Strategic Management Framework
2.1 Strategic Themes
In summary, the ICT Strategy revolves around three strategic themes:
• Significantly improved support for clinicians and patient care
• Strategic alignment to major NSW Health initiatives; and
• Considerable cost savings.
These themes are expressed in terms of five Strategic Objectives
1. Use of ICT to enable major clinical reform programs;
2. Reduce the duplication and cost in administrative systems
3. Deliver a core set of high quality information to all levels of the
organisation
4. Build an ICT Infrastructure that is available and responsive and
supports the requirements of the clinical and corporate systems
reforms; and
5. Adopt a coordinated, portfolio approach to the management of ICT to
ensure that the maximum benefit is gained from NSW Health’s
investment in ICT","The ICT Strategy is built on three main ideas:
Better support for clinicians and patient care.
Aligning with big NSW Health plans.
Saving a lot of money.

These ideas guide five key objectives:
Using ICT to drive big changes in clinical care.
Cutting down on duplicated admin systems and costs.
Providing top-notch info to everyone in the organization.
Setting up a flexible ICT system that supports both clinical and corporate reforms.
Managing ICT in a smart, coordinated way to get the most out of the investment.","Strategic alignment
Policy & governance reform
Investment planning
Business reform & strategy","Business Alignment
Policy and Organizational Reform
Financial Management and Budgeting
Business Alignment","Strategic Cohesion
Governance with Integrity
Budget control
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary
In Glossary"
10,Page 11,"2.2 Describing the ICT Strategic Management Framework
This document provides the central description of NSW Health’s ICT
Strategy for the period 2006-2011.
It is supported by a number of more specific documents covering:
• The ICT Asset Management Strategy;
• NSW Health’s Enterprise Architecture. This document forms the core of
NSW Health’s ICT Architecture documents, that are specific to:
 The Clinical Systems Architecture
 The Corporate Systems Architecture and Strategy
 The Business Information Strategy
 The Infrastructure Strategy; and
 The Integration architecture strategy
• The ICT Governance Framework
• The ICT Portfolio Management and Program of work
• The ICT Investment Plan 2006-2017.","ICT Asset Management Strategy
NSW Health's Enterprise Architecture, which covers:
Clinical Systems Architecture
Corporate Systems Architecture and Strategy
Business Information Strategy
Infrastructure Strategy
Integration Architecture Strategy
ICT Governance Framework
ICT Portfolio Management and Program of Work
ICT Investment Plan for 2006-2017.","Strategic alignment
Risk identification & mitigation
Project prioritization","Business Alignment
Risk Identification and Management
Program and Project Management","Strategic Cohesion
Accountable Risk Management
Strategic Project Leadership",,"In Glossary
In Glossary
In Glossary"
